"Codice articolo","Descrizione","Categoria","Prezzo"
"SCA-EM20-80","Scanner fisso 2D CMOS- interfaccia USB/TTL232","COMPONENTE ELETTRONICO/ELETTRICO",""
"SCA-CBL115U","Cavo per scanner EM20-80 cod. CBL115U - 4PIN USB L.1,2 Mt.","COMPONENTE ELETTRONICO/ELETTRICO",""
"","","#N/D",""
"","KIT FARMA ","",""
"","kit FARMA  gestiti da Vaccari ","#N/D","0"
"DD60-KIT-04","Blocco motoriduttore per sblocco apertura cassetto DD60","GRUPPO ELETTRONICA","176,5019"
"DD60-KIT-100","Kit per sostituzione da RaspBerry a Scheda PC","ACCESSORIO","1298,649"
"DP18-KIT-04","Kit motore assemblato per blocco sportello ritiro prodotti DP18","GRUPPO ELETTRONICA","26,2665"
"DP16-KIT-03","KIT DISPLAY DP8/DP16","MONITOR/TOUCH/DISPLAY","174,4814"
"DP60-KIT-SAN","Kit per montaggio stampante Sanei su DP60 con POS","GRUPPI E SEMILAVORATI","628,1875"
"","kit FARMA gestiti internamente","","0"
"DP60-KIT-98-R","Kit Pos Ingenico Self 2000 per DP60 RICAMBIO","GRUPPI E SEMILAVORATI","1130,634"
"DD06-KIT-MON","Kit sostituzione monitor per DD06 2026 -RICAMBIO-","GRUPPI E SEMILAVORATI",""
"","KIT ORDINATI COME CAMPIONE A VACCARI  GESTITI INTERNAMENTE","","0"
"3025752","Kit telemetria","GRUPPI E SEMILAVORATI","252,8045"
"8-KIT-BO1","Kit Barriera Ottica New con MH627","GRUPPI E SEMILAVORATI","182,5185"
"DP40-KIT-FC-R","Kit aggiunta Fine Corsa su DP40 - Ricambio","GRUPPI E SEMILAVORATI","90,4735"
"DP40-KIT-SAN","Kit per montaggio stampante Sanei su DP40","GRUPPI E SEMILAVORATI","572,907"
"DP60-KIT-12","Kit Ventola Tangenziale x DP60","GRUPPI E SEMILAVORATI","160,4726"
"GDP40-RR-RIC","Kit per montaggio Gett. Rendi Resto su DP40 (NO DPO) - Ricambio","GRUPPI E SEMILAVORATI","1003,26"
"GDP-STAMP-KIT1","Kit stampante Sanei completo","GRUPPI E SEMILAVORATI","506,483"
"","KIT GESTITI INTERNAMENTE ORDINATO I COMPONENTI ","","0"
"DD60-KIT-98-R","Kit Self 2000 su DD60T - Ricambio","GRUPPI E SEMILAVORATI","1215,435"
"DD60-KIT-FC-R","Kit aggiunta Fine Corsa su DD60T - Ricambio","GRUPPI E SEMILAVORATI","89,351"
