"Codice articolo","Descrizione","Categoria","Prezzo"
"MCV1501","Cablaggio di Switch Fine corsa DIETRO per DD60T/DP40","CAVI/CABLAGGI","13,688"
"MCV1502","Cablaggio di Switch Fine corsa AVANTI per DD60T/DP40","CAVI/CABLAGGI","14,632"
"MCV1503","Cablaggio Alimentazione macchina 230 Vac- DD06","CAVI/CABLAGGI","16,992"
"MCV1504","Cablaggio Alimentazione macchina 24 Vcc- DD06","CAVI/CABLAGGI","9,912"
"MCV1507","Cavo Solenoide per blocco sportello - Patch per DP40 e DP60 Vers. 1.00","CAVI/CABLAGGI","40,41"
"MCV1508","Cavo Solenoide per blocco sportello DD60T-DP40T - Vers. 1.01","CAVI/CABLAGGI","40,41"
"MCV1538","Cavo per lavorazione motore nuova Paratia DP40 e DD60 completo di MTR-11","CAVI/CABLAGGI","82,616"
"MD-MH538-CCT-A-SD5","Motor dispenser X2 con MH538 CCTALK. config.A mod. SD5","MOTOR DISPENSER/SPINTORE","62,0967"
"MD-MH538-CCT-A-SD2","Motor dispenser X2 con MH538 CCTALK. config.A mod. SD2","MOTOR DISPENSER/SPINTORE","62,0967"
"MH4-70.1240.90.006-D","Pannello frontale MH4 in plexi sp. 1,5 - Grafica Gucci","PARTI PLASTICHE","502,55"
"MH4-70.1240.90.010-D","Pannello frontale MH4 BLINDO in plexi sp. 1,5 - Grafica Gucci","PARTI PLASTICHE","502,55"
"MH430-P","Scheda CPU MH430 new","SCHEDE ELETTRONICHE","230,736"
"MH486","PayPoint - Tasto singolo","SCHEDE ELETTRONICHE",""
"MH499","Scheda per Programmatore ICP","SCHEDE ELETTRONICHE","58,37"
"MH505","Scheda Interfaccia colleg. scheda Raspberry-MH430 x Paypoint Rev.B","SCHEDE ELETTRONICHE","35,92"
"MH519","Scheda Audio x DT50 e DS40","SCHEDE ELETTRONICHE","28,736"
"MH521-N1","Scheda Power + I/O x cassa - Nuova Rev. E","SCHEDE ELETTRONICHE","159,395"
"MH522-N1","Scheda I/O x sportello - nuova Rev. C","SCHEDE ELETTRONICHE","155,803"
"MH524","Scheda tastiera x DP60","SCHEDE ELETTRONICHE","33,675"
"MH527","Scheda DP60 power e luci","SCHEDE ELETTRONICHE","31,6545"
"MH528","Scheda BUS CCTALK motori DP60","SCHEDE ELETTRONICHE",""
"MH529","Scheda motore serranda si sicur. vasca rec. prod. DP60","SCHEDE ELETTRONICHE","23,6174"
"MH534","Scheda 2 pulsanti con software 1.06","SCHEDE ELETTRONICHE","61,513"
"MH535","Scheda display prezzo prodotto DP18","SCHEDE ELETTRONICHE","14,4432"
"MH537","Scheda interfaccia MH537","SCHEDE ELETTRONICHE",""
"MH541","Scheda espansione multi CCTalk x DP18","SCHEDE ELETTRONICHE","22,656"
"MH555","Scheda ghigliottina CAN x serie DP","SCHEDE ELETTRONICHE","71,84"
"MH572","Scheda display prezzi DP30","SCHEDE ELETTRONICHE","114,944"
"MH576","Scheda display prezzi DP60","SCHEDE ELETTRONICHE","105,515"
"MH585","Scheda Power + Battery + I/O per DP8 New","SCHEDE ELETTRONICHE","192,621"
"MH599","Scheda Driver 10 spintori - New","SCHEDE ELETTRONICHE","167,926"
"MH615","Scheda dispaly 7 prezzi x carrello DUREX-DP40","SCHEDE ELETTRONICHE","130,4345"
"MH625","Nuovo DDx Touch - POWER","SCHEDE ELETTRONICHE","209,234"
"MH627-R","Scheda barriera ottica ricevente","SCHEDE ELETTRONICHE","76,33"
"MH627-R-DP","Scheda barriera ottica ricevente - per distr. DDx e DP","SCHEDE ELETTRONICHE","76,33"
"MH627-T","Scheda barriera ottica trasmittente","SCHEDE ELETTRONICHE","52,3085"
"MH628","Scheda rilevatore gas - DD60","SCHEDE ELETTRONICHE",""
"MH634","Scheda Controller Motori (Paratia-Cassetto) - DDx","SCHEDE ELETTRONICHE","78,575"
"MH637","Cavo audio RaspBerry -mh519","SCHEDE ELETTRONICHE","121,679"
"MH639","Scheda display 4 prezzi per MH4","SCHEDE ELETTRONICHE","94,739"
